1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,result
0.034749211,0.001051621,0.002148964,0.368821727,0.001005898,0.00189749,0.0114078,0.003406337,0.066480728,0.509030223,7.27E-20
0.005765495,0.0011907,0.004010779,0.001692047,0.381838691,0.016795137,0.110985774,0.374067807,0.051388106,0.052265463,3.33E-17
0.002257584,0.004449413,0.006290549,0.00550149,4.16E-04,0.001161669,0.221221287,0.004054883,0.749802735,0.004843942,5.48E-22
0.139489276,0.001543854,0.003922223,0.435533673,0.00454811,0.023074355,0.006759576,0.006634399,0.019694567,0.358799967,1.22E-17
0.010638298,0.00224924,0.009179331,0.005227964,0.011489362,0.024924012,0.14899696,0.572765957,0.144194529,0.070334347,2.85E-16
0.002644337,0.009381099,0.097336775,0.00314802,0.001259208,0.019077001,0.116476736,0.670968961,0.075300636,0.004407228,4.74E-18
7.96E-04,6.16E-04,0.656063057,4.88E-04,3.34E-04,0.072633444,0.160774346,0.105702329,0.002028293,5.65E-04,7.41E-23
0.006764069,0.009063853,0.004734848,0.007440476,0.005546537,0.040178571,0.106737013,0.765827922,0.033685065,0.020021645,2.65E-17
0.027817631,0.002829587,0.054519369,0.102223816,0.00274988,9.96E-04,0.103857803,0.00310856,0.297465328,0.404431691,4.67E-17
0.003661945,0.003565578,0.005782018,0.004240146,0.450708297,0.021971668,0.151970704,0.224438662,0.064180399,0.069480582,4.82E-16
8.79E-04,0.00324412,0.012638551,0.001757232,0.002230333,0.014936469,0.17018113,0.678696945,0.105163558,0.010273047,2.63E-19
0.014088323,0.004154249,0.007902104,0.004334869,0.085433035,0.004425178,0.368870225,0.199990969,0.259143863,0.051657184,7.48E-16
0.06975933,0.001743983,0.003418207,0.060690617,0.015765609,0.031112661,0.343425183,0.150261597,0.005929543,0.317893268,1.20E-15
0.009664582,0.007390563,0.006253553,0.010801592,0.216600341,0.007959068,0.008527572,0.354747015,0.371233655,0.006822058,6.37E-17
0.143582306,0.00282432,0.003396817,0.028739361,0.007862295,0.033319339,0.091714057,0.126445556,0.483760162,0.078355788,4.56E-15
